date,steps taken,weekday,weather,number of classes,caffeine comsumed mg,on call
1/21/2026,6058,Yes,Overcast,1,80,No
1/22/2026,9620,Yes,Overcast,3,100,No
1/24/2026,10407,No,Sunny,0,95,No
1/25/2026,4454,No,Sunny,0,0,No
1/26/2026,3598,Yes,Sunny,0,150,No
1/27/2026,10768,Yes,Sunny,3,100,Yes
1/28/2026,8296,Yes,Sunny,1,95,No
1/29/2026,2915,Yes,Sunny,3,95,No
1/30/2026,4483,Yes,Sunny,2,170,No
1/31/2026,5334,No,Sunny,0,170,Yes
2/1/2026,5463,No,Sunny,0,0,No
2/2/2026,6718,Yes,Sunny,0,0,No
2/3/2026,11217,Yes,Sunny,3,95,Yes
2/4/2026,4928,Yes,Sunny,1,100,No
2/5/2026,7208,Yes,Overcast,3,0,No
2/6/2026,3921,Yes,Sunny,2,0,No
2/7/2026,2661,No,Sunny,0,0,No
2/8/2026,8550,No,Sunny,0,45,No
2/9/2026,9738,Yes,Overcast,0,150,Yes
2/10/2026,8046,Yes,Overcast,3,95,No
2/11/2026,6410,Yes,Sunny,0,0,No
2/12/2026,9913,Yes,Sunny,3,,No
2/13/2026,6617,Yes,Sunny,2,,No
2/14/2026,5302,No,Sunny,0,,Yes
2/15/2026,4641,No,Overcast,0,0,No
2/16/2026,6780,Yes,Rainy,0,0,No
2/17/2026,2528,Yes,Rainy,3,0,No
2/18/2026,3759,Yes,Sunny,0,,No
2/19/2026,3300,Yes,Rainy,3,0,No
2/20/2026,3835,Yes,Sunny,2,95,No
2/21/2026,2043,No,Sunny,0,0,No
2/22/2026,2634,No,Sunny,0,0,No
2/23/2026,1823,Yes,Sunny,0,0,Yes
2/24/2026,4284,Yes,Sunny,3,0,No
2/25/2026,991,Yes,Sunny,0,0,No
2/26/2026,3221,Yes,Sunny,3,0,No
2/27/2026,4720,Yes,Sunny,2,0,Yes
2/28/2026,9056,No,Sunny,0,0,No
3/1/2026,5014,No,Sunny,0,0,Yes
3/2/2026,4016,Yes,Sunny,0,120,No
3/3/2026,4725,Yes,Sunny,3,275,No
3/4/2026,5017,Yes,Sunny,1,100,No
